,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,603800.XSHG,2016-04-23,104.18,104.1761,24.04,11.68,-361.88,603800.XSHG,,0.0,,,8.4629,,,,,11.1299,,,,,,,,,,,,,,,,,,1
0,603800.XSHG,2016-04-23,52.89,206.2779,12.21,5.93,-183.73,603800.XSHG,-2.05,-2.1,-1.69,-27.74,8.1,127.63,-30.41,-27.74,12.65,21.32,0.05,102.12,10.26,,113.4,-54.94,198.81,-64.84,,-64.84,,-192.32,,-213.45,,-192.61,,1
0,603800.XSHG,2016-08-27,-452.49,231.6671,6.59,14.15,49.82,603800.XSHG,-1.1279,-1.0065,-0.9549,-10.2056,11.7322,110.2869,-11.4352,-10.2056,8.6994,12.1197,-1.6824,97.0558,10.8342,89.2304,95.6112,22.9674,-223.268,-21.6697,49.0362,-21.6697,49.0362,-224.3239,43.9526,-388.3525,45.1778,-385.9702,46.3513,1
0,603800.XSHG,2016-10-29,-274.95,225.9413,6.65,14.81,53.59,603800.XSHG,-0.8081,-1.1905,-0.6972,-9.3312,4.9346,119.97,-16.5401,-9.3312,9.7187,18.557,-1.2,154.496,-26.5351,147.3178,206.3464,28.1466,-140.9445,-26.5047,-21.9255,-26.5047,-21.9255,-194.6493,-12.9283,-167.81,28.615,-161.836,29.9509,-1
0,603800.XSHG,2017-04-15,-146.78,227.2974,6.71,15.99,70.15,603800.XSHG,-2.3597,-2.8666,-1.8901,-15.7802,17.2356,115.5802,-14.8011,-15.7802,5.8823,15.7407,-1.3139,106.161,-5.3085,121.4792,46.6807,-41.8221,268.4308,23.5054,63.3121,23.5054,63.3121,-94.1201,-46.1422,-403.9064,-176.1812,-435.2595,-187.1165,-1
0,603800.XSHG,2017-04-28,-157.95,242.7419,7.22,17.2,75.49,603800.XSHG,0.7982,0.0851,0.5285,4.5743,17.4983,99.5472,3.7803,4.5743,6.5975,9.3287,0.8258,10.5024,77.1696,10.6671,85.0769,-11.6116,-2564.1382,95.269,2.7576,95.269,2.7576,124.2759,126.2447,132.1945,129.7868,136.2656,133.6105,-1
""
""
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,603806.XSHG,2014-10-30,30.79,30.7938,4.96,9.37,-134.14,603806.XSHG,4.03,3.15,3.57,18.86,27.51,79.48,20.88,18.86,1.8,5.33,0.36,85.98,1.53,78.16,96.38,7.7,37.51,,-11.83,,-11.83,,-12.52,,-0.16,,-0.16,-1
0,603806.XSHG,2015-04-10,29.69,25.7717,4.04,6.55,14.15,603806.XSHG,3.64,3.34,3.14,15.98,27.59,87.36,14.87,15.98,2.31,5.67,-0.82,84.03,14.78,91.96,72.31,2.27,17.95,7.07,8.49,7.07,8.49,-54.36,-22.75,-44.98,-8.08,-44.98,-8.08,1
0,603806.XSHG,2015-04-30,34.78,41.6054,4.6,7.67,16.57,603806.XSHG,2.81,2.56,2.55,14.67,31.41,84.76,16.66,14.67,1.15,4.85,0.73,90.63,8.49,91.2,50.69,-26.08,-171.15,60.51,13.76,60.51,13.76,4.79,27.5,5.62,4.43,5.62,4.43,-1
0,603806.XSHG,2015-08-20,59.85,60.6497,6.74,9.84,147.22,603806.XSHG,4.19,3.76,3.75,20.66,34.34,78.8,24.59,20.66,1.91,4.75,-0.09,90.29,14.45,89.65,105.02,51.18,241.4,14.95,5.63,14.95,5.63,34.32,55.89,42.61,48.8,42.61,48.8,-1
0,603806.XSHG,2015-10-31,25.99,29.2317,3.25,4.57,34.77,603806.XSHG,3.68,3.04,3.24,15.7,30.34,83.91,17.82,15.7,1.68,7.27,0.82,83.7,8.99,82.58,67.15,1.68,10.42,53.58,17.81,53.58,17.81,31.07,-14.64,27.84,-10.5,27.84,-10.5,-1
0,603806.XSHG,2016-03-28,38.84,46.5084,4.98,6.51,-19.62,603806.XSHG,5.79,5.28,5.14,26.08,35.27,72.98,29.58,26.08,1.9,6.04,2.0,89.7,8.49,91.15,105.32,21.65,80.12,38.0,-2.52,38.0,-2.52,174.57,61.82,125.22,61.94,125.22,61.94,1
0,603806.XSHG,2016-04-28,23.86,23.8606,3.62,4.63,2319.1001,603806.XSHG,3.67,3.28,3.28,17.85,34.03,81.5,20.2,17.85,1.59,5.41,0.11,89.47,8.26,89.35,85.4,-0.63,-3.41,21.45,0.12,21.45,0.12,47.26,-31.62,47.78,-31.47,47.46,-31.62,1
0,603806.XSHG,2016-08-18,30.03,32.4124,4.74,6.01,26.97,603806.XSHG,6.3687,6.0197,5.6175,27.133,33.9743,69.9876,31.1842,27.133,1.772,4.1364,0.7059,94.7203,3.6982,94.5208,76.1852,9.4114,31.3584,33.1516,15.808,33.1516,15.808,68.844,78.7429,74.8373,76.04,75.0609,76.6443,-1
0,603806.XSHG,2016-10-26,22.88,28.9718,4.23,5.0,62.04,603806.XSHG,3.7739,3.516,3.3013,16.8474,28.9045,82.2433,18.9818,16.8474,1.5883,5.4328,0.0685,92.7395,6.3983,93.1671,86.5323,-4.063,-22.8816,10.111,-2.5781,10.111,-2.5781,17.2925,-40.6994,18.1739,-39.5087,18.1666,-39.5897,-1
0,603806.XSHG,2017-03-21,22.15,28.7358,4.07,4.88,108.1,603806.XSHG,4.9877,4.3671,4.3929,23.438,24.4847,73.6064,27.191,23.438,1.5157,6.2642,0.1639,96.1936,2.9062,87.5584,109.1497,24.2986,92.0628,12.1627,-0.704,12.1627,-0.704,3.0975,42.2393,0.8062,38.1394,0.7944,38.1329,-1
0,603806.XSHG,2017-04-26,22.0,22.0031,3.85,4.72,-40.87,603806.XSHG,2.0504,1.7806,1.8069,10.0185,20.2454,89.8347,11.5905,10.0185,1.6416,5.782,0.4384,86.8351,12.1743,86.8431,77.9345,-21.1155,-207.7213,11.6824,-0.3086,11.6824,-0.3086,-35.9318,-57.5053,-37.3151,-57.3871,-37.194,-57.3918,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,603808.XSHG,2015-08-11,62.76,62.9032,6.15,11.6,9808.2305,603808.XSHG,3.09,2.95,2.62,17.29,72.35,78.27,22.78,17.29,37.3,11.46,-0.38,95.54,4.61,95.6,89.68,-16.28,-74.9,21.82,3.21,21.82,3.21,23.0,-6.64,25.71,-5.3,25.71,-5.3,-1
0,603808.XSHG,2015-10-28,38.75,40.6796,3.98,7.18,34.37,603808.XSHG,3.49,3.11,2.99,18.53,66.2,78.0,23.18,18.53,31.36,11.67,-2.3,89.09,4.79,89.09,120.09,25.23,114.69,0.62,14.88,0.62,14.88,-11.97,16.9,-10.44,23.09,-10.44,23.09,1
0,603808.XSHG,2016-04-15,57.87,58.8228,5.07,10.37,9.14,603808.XSHG,5.05,4.45,4.04,21.15,66.41,74.01,27.88,21.15,31.17,10.65,-2.11,88.83,6.45,88.24,110.87,28.78,110.76,25.42,21.92,25.42,21.92,58.01,46.63,55.51,39.21,55.51,39.21,-1
0,603808.XSHG,2016-04-15,46.59,40.8931,4.09,8.35,7.36,603808.XSHG,1.56,1.56,1.28,13.22,68.32,81.77,18.27,13.22,37.57,13.89,-4.21,99.86,0.19,99.85,103.25,7.34,40.29,0.64,-30.38,0.64,-30.38,-27.0,-54.38,-29.42,-56.51,-29.42,-56.51,-1
0,603808.XSHG,2016-08-26,48.28,45.2819,4.7,8.65,7.2,603808.XSHG,1.6111,1.4622,1.5422,14.5546,70.4116,84.0823,17.6981,14.5546,35.7851,15.993,-0.3319,81.5729,9.1241,90.7567,109.5195,2.1765,13.6732,17.9902,21.004,17.9902,21.004,-8.3268,17.2411,-0.6845,33.2553,-22.6602,3.7698,1
0,603808.XSHG,2016-10-28,51.99,46.4011,4.85,8.53,46.7,603808.XSHG,2.6382,2.6299,2.0698,16.6947,67.8197,81.9347,16.0228,16.6947,30.2532,13.5498,-0.3769,112.5872,-12.7295,99.6867,131.0795,42.0591,232.817,34.0819,30.5474,34.0819,30.5474,-7.3141,18.1897,20.8195,49.7432,5.7797,68.355,-1
0,603808.XSHG,2017-04-28,54.63,49.8831,4.87,8.41,-10.79,603808.XSHG,6.4073,5.8672,4.8653,26.5506,69.2271,72.7334,30.7676,26.5506,24.817,13.2411,0.6854,83.1204,10.6725,91.5697,109.367,-8.148,-29.8826,73.378,57.6545,73.378,57.6545,91.3654,202.7343,117.5989,150.7271,96.7696,158.9629,-1
0,603808.XSHG,2017-04-29,54.31,49.1982,4.84,8.36,-10.73,603808.XSHG,3.4119,3.4553,2.6564,20.0388,72.7023,74.8444,25.5776,20.0388,32.7496,10.9179,-1.183,99.537,1.67,101.2727,118.6418,18.3134,72.8005,88.3666,-24.3638,88.3666,-24.3638,163.7654,-37.1223,185.6016,-42.9143,153.1549,-44.0433,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,603811.XSHG,2017-04-27,72.64,72.6402,17.67,15.42,317.36,603811.XSHG,3.3049,3.0358,2.8309,17.2216,45.9757,81.6409,19.0472,17.2216,10.5036,12.8665,0.1865,89.6818,3.3613,91.857,80.9037,-9.2878,-50.5896,16.4786,,16.4786,,4.3202,,23.7533,,23.7533,,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,603816.XSHG,2017-03-21,34.14,39.1878,14.81,4.49,66.53,603816.XSHG,6.531,5.7795,3.6351,9.5734,37.5885,89.7444,9.5369,9.5734,23.2688,3.541,-0.8916,82.6512,-5.7924,88.4931,126.8106,32.1593,313.5777,38.3566,25.0688,38.3566,25.0688,14.7723,14.3903,-2.0457,-1.0732,1.02,5.3183,-1
0,603816.XSHG,2017-04-28,35.55,35.5507,5.95,4.26,22.04,603816.XSHG,5.3193,3.8976,3.6517,13.887,37.8817,87.8286,13.0891,13.887,21.0345,3.5375,0.0319,71.6012,5.3989,73.2718,101.93,7.0634,58.0333,53.5678,-10.749,53.5678,-10.749,22.2748,22.4948,38.6613,29.4654,34.0893,20.8652,1
