,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603027.XSHG,2016-04-28,66.62,66.6154,9.48,7.11,-1480.41,603027.XSHG,3.61,3.46,2.79,12.77,40.93,85.12,14.88,12.77,18.15,6.24,0.64,95.87,0.0,95.9,108.04,0.72,4.87,16.07,,16.07,,22.96,,23.18,,23.18,,1,1,1
0,603027.XSHG,2016-08-26,79.55,84.8205,6.8,8.7,23.51,603027.XSHG,2.9738,2.4248,2.6181,14.3907,40.0461,85.4341,14.5659,14.3907,19.0089,5.9519,-0.1546,82.2939,,81.5391,119.1118,15.9662,109.613,22.8029,-5.9794,22.8029,-5.9794,55.1886,-7.9948,84.3998,5.9264,84.3998,5.9264,-1,1,1
0,603027.XSHG,2016-10-27,63.19,78.1589,6.2,7.64,23.18,603027.XSHG,2.8061,2.7091,2.4996,12.3271,40.705,85.4625,14.7209,12.3271,19.9162,5.7371,-0.7402,96.6089,,96.5447,110.7043,23.657,162.7314,20.5539,12.3127,20.5539,12.3127,30.7772,13.508,28.6196,-3.7923,28.6196,-3.7923,1,1,1
0,603027.XSHG,2017-03-22,80.53,108.1479,8.18,9.88,109.7,603027.XSHG,3.1948,2.5776,2.8064,12.638,41.9541,87.5775,13.048,12.638,23.0109,3.9839,-0.0988,81.2685,4.0921,80.6808,115.6447,-2.3277,-18.7374,34.5361,14.4382,34.5361,14.4382,58.2055,1.4331,80.4836,17.3238,80.4836,17.3238,-1,-1,-1
0,603027.XSHG,2017-04-26,55.47,55.4709,6.24,7.2,91.72,603027.XSHG,4.1249,3.7808,3.5698,14.8245,40.9898,83.6256,16.8187,14.8245,18.1977,5.1425,-0.0646,91.8833,2.4927,91.6589,113.0979,29.4125,179.6246,37.9829,14.1832,37.9829,14.1832,55.9078,47.1803,60.1422,33.9385,60.1422,33.9385,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603028.XSHG,2016-04-23,29.56,29.5552,3.0,2.47,-378.83,603028.XSHG,1.79,1.18,1.13,9.9,26.05,91.65,8.35,9.9,4.16,11.01,1.67,65.97,0.0,65.98,110.57,-37.28,-446.64,-2.13,,-2.13,,-6.68,,11.62,,11.62,,-1,1,1
0,603028.XSHG,2016-08-25,138.68,141.7977,9.94,11.89,32.68,603028.XSHG,1.8083,1.4795,1.2253,8.3179,25.5859,90.8527,9.1473,8.3179,3.9738,10.5474,0.5216,82.974,,81.8165,94.4492,34.0602,372.3524,-17.0754,43.259,-17.0754,43.259,-35.6537,56.9786,-15.6256,20.3687,-15.6256,20.3687,-1,1,1
0,603028.XSHG,2016-10-27,118.57,115.521,7.96,10.24,49.25,603028.XSHG,1.1356,0.8278,0.8295,5.5508,24.673,94.5835,5.4165,5.5508,5.1221,13.9936,0.1731,75.0232,,72.8966,129.7326,-3.3034,-60.9878,-1.7853,-4.5047,-1.7853,-4.5047,-37.4791,-43.453,-36.8351,-36.2731,-36.8351,-36.2731,1,1,1
0,603028.XSHG,2017-04-20,144.98,127.5263,8.66,11.33,203.81,603028.XSHG,0.254,0.9132,0.1948,1.2352,24.121,95.8231,4.1769,1.2352,5.1324,13.0807,-0.1598,18015.6426,,359.5479,75.4909,19.5783,468.7241,3.4733,1.3352,3.4733,1.3352,-51.1409,-21.8558,-84.1139,-77.4505,-84.1139,-77.4505,-1,-1,-1
0,603028.XSHG,2017-04-27,121.41,106.5532,7.25,9.49,170.68,603028.XSHG,1.2989,0.5583,0.9791,7.8505,20.993,95.7282,4.2718,7.8505,4.16,11.3661,0.5669,44.7895,,42.9867,122.6792,-47.303,-1107.3383,12.502,-18.8487,12.502,-18.8487,-42.4303,-17.0059,-10.7856,415.7765,-10.7856,415.7765,-1,-1,-1
0,603028.XSHG,2017-08-10,111.2241,107.4083,4.9541,6.2928,-20.8837,603028.XSHG,1.458,1.2918,1.0731,6.7693,21.8928,93.2922,6.7078,6.7693,3.264,10.0447,1.0201,88.0819,,88.6033,102.039,28.1585,419.7885,2.8588,30.9795,2.8588,30.9795,-24.5729,105.6711,-16.2915,12.9401,-16.2915,12.9401,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603029.XSHG,2016-08-26,105.15,104.3421,8.19,10.94,3164.3999,603029.XSHG,1.0339,0.4674,0.7256,8.8061,40.2654,95.6346,4.3654,8.8061,8.2159,24.3631,0.3815,43.2645,,45.2068,41.5699,-7.6732,-175.7737,-44.2262,15.6054,-44.2262,15.6054,-58.1197,-4.0056,-32.1338,159.3592,-32.2046,159.1784,-1,1,1
0,603029.XSHG,2016-10-26,123.16,113.1561,6.57,13.89,45.71,603029.XSHG,1.3304,1.0501,1.0174,11.3873,40.1009,89.4999,10.5301,11.3873,8.5147,18.4541,-0.1217,78.6227,,78.9315,40.3135,-28.0233,-266.8849,-27.323,15.8046,-27.323,15.8046,-38.0171,179.3427,-20.2224,49.7484,-19.4863,48.9868,1,1,1
0,603029.XSHG,2017-03-31,132.97,113.5536,6.57,15.53,49.46,603029.XSHG,1.4741,1.0691,1.1364,25.6244,38.6013,133.6726,22.7652,25.6244,16.4358,45.1927,-0.3954,-108.522,181.8908,72.5239,206.7221,110.5742,-328.3802,-51.7032,-49.8041,-51.7032,-49.8041,-52.2031,8.5191,-37.5472,12.9534,-37.8579,12.4532,-1,-1,-1
0,603029.XSHG,2017-04-27,145.48,145.4789,5.78,16.28,73.95,603029.XSHG,0.2203,-0.0629,0.1782,3.7999,32.4147,103.0894,-1.1265,3.7999,7.8791,23.0505,-0.4981,-69.1101,43.9093,-28.5585,77.5269,-39.1476,1267.1591,-30.0776,4.0504,-30.0776,4.0504,-114.9834,-105.149,-32.3089,-84.5699,-34.5317,-84.9231,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603030.XSHG,2015-04-27,58.98,58.9817,5.65,2.44,53.98,603030.XSHG,0.48,0.43,0.16,1.27,11.84,98.05,1.67,1.27,2.44,4.84,2.9,107.01,-15.6,90.75,135.91,-62.54,-3207.6101,28.68,-63.59,28.68,-63.59,-10.87,-94.01,8.52,-94.56,2.35,-94.34,1,1,1
0,603030.XSHG,2015-08-28,72.72,72.7832,6.89,2.93,13.98,603030.XSHG,2.94,2.64,0.95,2.85,14.13,96.38,3.91,2.85,0.87,2.16,0.58,92.67,7.31,89.96,34.64,-0.4,-11.14,4.65,173.75,4.65,173.75,25.94,542.74,19.1,513.15,29.43,519.6,-1,1,1
0,603030.XSHG,2015-10-28,45.84,48.3586,4.58,1.92,38.25,603030.XSHG,1.29,1.1,0.35,1.21,11.12,98.36,1.57,1.21,1.1,2.55,0.71,90.4,-4.2,85.56,59.04,2.55,154.75,32.98,-6.06,32.98,-6.06,-16.07,-62.32,-4.86,-59.96,2.36,-56.02,1,1,1
0,603030.XSHG,2016-03-14,74.75,79.0333,7.46,2.92,88.64,603030.XSHG,8.51,7.63,2.69,7.1,15.39,91.67,8.29,7.1,0.66,1.72,0.58,91.59,-0.45,89.61,56.7,16.05,192.75,24.77,33.25,24.77,33.25,2.12,604.03,4.1,678.91,6.36,589.37,-1,-1,-1
0,603030.XSHG,2016-04-28,53.04,53.0409,5.15,2.0,176.15,603030.XSHG,0.66,0.59,0.12,1.12,11.66,98.1,1.9,1.12,3.05,7.41,2.16,90.68,0.0,90.63,156.53,-46.85,-2461.8799,19.36,-65.17,19.36,-65.17,36.39,-92.0,4.67,-94.53,94.51,-89.65,-1,1,1
0,603030.XSHG,2016-08-25,51.35,53.0409,5.12,1.96,-14.68,603030.XSHG,1.8449,1.7945,0.4886,1.3769,10.9543,98.3318,1.6682,1.3769,0.9236,2.7561,0.61,96.2944,,97.2678,22.0923,-1.7607,-105.5429,60.2165,267.4663,60.2165,267.4663,-31.6466,222.1271,-22.5942,353.4485,-11.143,183.0515,-1,1,1
0,603030.XSHG,2016-10-28,65.42,65.9953,6.33,2.1,-64.83,603030.XSHG,0.7757,0.5425,0.207,0.7759,8.6026,99.262,0.738,0.7759,1.0618,2.3779,0.683,69.3828,,69.9381,46.1754,-16.2471,-2201.4055,67.1527,-1.9919,67.1527,-1.9919,-21.3516,-56.64,6.7718,-44.7702,9.8668,-45.6225,-1,-1,-1
0,603030.XSHG,2017-03-30,64.43,65.1357,3.99,1.81,9.96,603030.XSHG,5.0467,2.8645,1.6605,6.0243,10.6703,95.5708,4.4625,6.0243,1.0467,2.5088,0.9584,61.2473,,56.7592,96.0324,0.8116,18.3233,45.5137,15.9957,45.5137,15.9957,-21.6483,601.3704,23.4539,800.6107,30.2797,717.458,-1,-1,-1
0,603030.XSHG,2017-04-27,55.67,55.6686,3.91,1.68,19.11,603030.XSHG,1.2022,1.2018,0.3639,3.1361,12.4817,95.9326,4.0761,3.1361,2.211,6.3563,3.2852,99.7382,0.2123,99.9671,188.6595,-16.7966,-412.9519,73.4251,-58.4864,73.4251,-58.4864,271.4656,-62.0812,387.4265,-78.3892,209.3715,-75.4116,-1,1,1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
